index,Summary
0,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew’s mismanagement of the approach and multiple deviations from company standard operating procedures, which placed the airplane in an unsafe situation and led to an unstabilized approach, a descent below minimum descent altitude without visual contact with the runway environment, and an aerodynamic stall. Contributing to the accident were Execuflight’s casual attitude toward compliance with standards; its inadequate hiring, training, and operational oversight of the flight crew; the company’s lack of a formal safety program; and the Federal Aviation Administration’s insufficient oversight of the company’s training program and flight operations."
1,"The National Transportation Safety Board determines that the probable cause of this accident was the captain’s inability to maintain directional control of the airplane due to his application of excessive reverse thrust, which degraded the effectiveness of the rudder in controlling the airplane’s heading. Contributing to the accident were the captain’s (1) situational stress resulting from his concern about stopping performance and (2) attentional limitations due to the high workload during the landing, which prevented him from immediately recognizing the use of excessive reverse thrust."
2,"The NTSB determines that the probable cause of this accident was the pilot’s conduct of an approach in structural icing conditions without turning on the airplane’s wing and horizontal stabilizer deice system, leading to ice accumulation on those surfaces, and without using the appropriate landing performance speeds for the weather conditions and airplane weight, as indicated in the airplane’s standard operating procedures, which together resulted in an aerodynamic stall at an altitude at which a recovery was not possible."
3,"The NTSB determines that the probable cause of this accident was the flight crewmembers’ failure to perform the flight control check before takeoff, their attempt to take off with the gust lock system engaged, and their delayed execution of a rejected takeoff after they became aware that the controls were locked. Contributing to the accident were the flight crew’s habitual noncompliance with checklists, Gulfstream Aerospace Corporation’s failure to ensure that the G-IV gust lock/throttle lever interlock system would prevent an attempted takeoff with the gust lock engaged, and the Federal Aviation Administration’s failure to detect this inadequacy during the G-IV’s certification."
4,"The National Transportation Safety Board determines that the probable cause of this accident was Scaled Composites’ failure to consider and protect against the possibility that a single human error could result in a catastrophic hazard to the SpaceShipTwo vehicle. This failure set the stage for the copilot’s premature unlocking of the feather system as a result of time pressure and vibration and loads that he had not recently experienced, which led to uncommanded feather extension and the subsequent aerodynamic overload and in-flight breakup of the vehicle."
5,"The NTSB determines that the probable cause of this accident was National Airlines’ inadequate procedures for restraining special cargo loads, which resulted in the loadmaster’s improper restraint of the cargo, which moved aft and damaged hydraulic systems Nos. 1 and 2 and horizontal stabilizer drive mechanism components, rendering the airplane uncontrollable. Contributing to the accident was the FAA’s inadequate oversight of National Airlines’ handling of special cargo loads."
6,T
7,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's continuation of an unstabilized approach and their failure to monitor the aircraft's altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. Contributing to the accident were (1) the flight crew's failure to properly configure and verify the flight management computer for the profile approach; (2) the captain's failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crew's expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officer's failure to make the required minimums callouts; (5) the captain's performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officer's fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factors."
8,"The National Transportation Safety Board determines that the probable cause of this accident was the improper installation of the fuselage crown skin panel at the S-4L lap joint during the manufacturing process, which resulted in multiple site damage fatigue cracking and eventual failure of the lower skin panel. Contributing to the injuries was flight attendant A's incorrect assessment of his time of useful consciousness, which led to his failure to follow procedures requiring immediate donning of an oxygen mask when cabin pressure is lost."
9,"The NTSB determines that the probable causes of this accident were the pilot's failure to confirm that the helicopter had adequate fuel on board to complete the mission before making the first departure, his improper decision to continue the mission and make a second departure after he became aware of a critically low fuel level, and his failure to successfully enter an autorotation when the engine lost power due to fuel exhaustion. Contributing to the accident were (1) the pilot's distracted attention due to personal texting during safety-critical ground and flight operations, (2) his degraded performance due to fatigue, (3) the operator's lack of a policy requiring that an operational control center specialist be notified of abnormal fuel situations, and (4) the lack of practice representative of an actual engine failure at cruise airspeed in the pilot's autorotation training in the accident make and model helicopter."
10,"The NTSB determines that the probable cause of this accident was Sundance Helicopters' inadequate maintenance of the helicopter, including (1) the improper reuse of a degraded self-locking nut, (2) the improper or lack of installation of a split pin, and (3) inadequate postmaintenance inspections, which resulted in the in-flight separation of the servo control input rod from the fore/aft servo and rendered the helicopter uncontrollable. Contributing to the improper or lack of installation of the split pin was the mechanic's fatigue and the lack of clearly delineated maintenance task steps to follow. Contributing to the inadequate postmaintenance inspection was the inspector's fatigue and the lack of clearly delineated inspection steps to follow."
11,"The NTSB determines that the probable cause of this accident was the failure of a midspar fitting, which was susceptible to fatigue cracking and should have been replaced with a newer, more fatigue-resistant version of the fitting as required by an airworthiness directive. Also causal was an erroneous maintenance entry made by a previous aircraft owner, which incorrectly reflected that the newer fitting had been installed."
12,"The NTSB determines that the probable cause of this accident was an aerodynamic stall and subsequent uncommanded roll during an OEI takeoff flight test, which were the result of (1) Gulfstream's failure to properly develop and validate takeoff speeds for the flight tests and recognize and correct the V2 error during previous G650 flight tests, (2) the G650 flight test team's persistent and increasingly aggressive attempts to achieve V2 speeds that were erroneously low, and (3) Gulfstream's inadequate investigation of previous G650 uncommanded roll events, which indicated that the company's estimated stall AOA while the airplane was in ground effect was too high. Contributing to the accident was Gulfstream's failure to effectively manage the G650 flight test program by pursuing an aggressive program schedule without ensuring that the roles and responsibilities of team members had been appropriately defined and implemented, engineering processes had received sufficient technical planning and oversight, potential hazards had been fully identified, and appropriate risk controls had been implemented and were functioning as intended."
13,"The National Transportation Safety Board (NTSB) determines that the probable cause of this accident was the reduced stiffness of the elevator trim tab system that allowed aerodynamic flutter to occur at racing speeds. The reduced stiffness was a result of deteriorated locknut inserts that allowed the trim tab attachment screws to become loose and to initiate fatigue cracking in one screw sometime before the accident flight. Aerodynamic flutter of the trim tabs resulted in a failure of the left trim tab link assembly, elevator movement, high flight loads, and a loss of control. Contributing to the accident were the undocumented and untested major modifications to the airplane and the pilot's operation of the airplane in the unique air racing environment without adequate flight testing."
14,The National Transportation Safety Board determines that the probable cause of this incident was a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown and the captain‘s failure to monitor and extend the speedbrakes manually. Also causal was the failure of the thrust reversers to deploy when initially commanded. Contributing to the incident was the captain‘s failure to confirm speedbrake extension before announcing their deployment and his distraction caused by the thrust reversers‘ failure to initially deploy after landing.
15,"The National Transportation Safety Board determines that the probable cause of this accident was (1) the pilot's failure to ensure that a fuel system icing inhibitor was added to the fuel before the flights on the day of the accident; (2) his failure to take appropriate remedial actions after a low fuel pressure state (resulting from icing within the fuel system) and a lateral fuel imbalance developed, including diverting to a suitable airport before the fuel imbalance became extreme; and (3) a loss of control while the pilot was maneuvering the left-wing-heavy airplane near the approach end of the runway."
16,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's temporary unresponsiveness for reasons that could not be established from the available information. Contributing to the investigation's inability to determine exactly what occurred in the final minutes of the flight was the lack of a cockpit recorder system with the ability to capture audio, images, and parametric data."
17,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's decision to take off from a remote, mountainous landing site in dark (moonless) night, windy, instrument meteorological conditions. Contributing to the accident were an organizational culture that prioritized mission execution over aviation safety and the pilot's fatigue, self-induced pressure to conduct the flight, and situational stress. Also contributing to the accident were deficiencies in the NMSP aviation section's safety-related policies, including lack of a requirement for a risk assessment at any point during the mission; inadequate pilot staffing; lack of an effective fatigue management program for pilots; and inadequate procedures and equipment to ensure effective communication between airborne and ground personnel during search and rescue missions."
18,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance."
19,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's decision to attempt a go-around late in the landing roll with insufficient runway remaining. Contributing to the accident were (1) the pilots' poor crew coordination and lack of cockpit discipline; (2) fatigue, which likely impaired both pilots' performance; and (3) the failure of the Federal Aviation Administration (FAA) to require crew resource management (CRM) training and standard operating procedures (SOPs) for 14 CFR Part 135 operators."
20,"The National Transportation Safety Board determines that the probable causes of this accident were the following actions by Carson Helicopters: 1) the intentional understatement of the helicopter's empty weight, 2) the alteration of the power available chart to exaggerate the helicopter's lift capability, and 3) the practice of using unapproved above-minimum specification torque in performance calculations that, collectively, resulted in the pilots relying on performance calculations that significantly overestimated the helicopter's load-carrying capacity and did not provide an adequate performance margin for a successful takeoff; and insufficient oversight by the USFS and the Federal Aviation Administration (FAA)."
21,"The National Transportation Safety Board determines that the probable cause of this accident was (1) the inherent limitations of the see-and-avoid concept, which made it difficult for the airplane pilot to see the helicopter until the final seconds before the collision, and (2) the Teterboro Airport local controller's nonpertinent telephone conversation, which distracted him from his air traffic control (ATC) duties, including correcting the airplane pilot's read back of the Newark Liberty International Airport (EWR) tower frequency and the timely transfer of communications for the accident airplane to the EWR tower. Contributing to this accident were (1) both pilots' ineffective use of available electronic traffic information to maintain awareness of nearby aircraft, (2) inadequate Federal Aviation Administration (FAA) procedures for transfer of communications among ATC facilities near the Hudson River Class B exclusion area, and (3) FAA regulations that did not provide adequate vertical separation for aircraft operating in the Hudson River Class B exclusion area."
22,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's cessation of rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captain's training and experience."
23,"The National Transportation Safety Board determines that the probable cause of this accident was the ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administration's (FAA) approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captain's resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation."
24,"The National Transportation Safety Board determines that the probable cause of this accident was the operator's inadequate maintenance of the airplane's tires, which resulted in multiple tire failures during takeoff roll due to severe underinflation, and the captain's execution of a rejected takeoff (RTO) after V1, which was inconsistent with her training and standard operating procedures."
25,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the lowspeed cue, (2) the flight crew's failure to adhere to sterile cockpit procedures, (3) the captain's failure to effectively manage the flight, and (4) Colgan Air's inadequate procedures for airspeed selection and management during approaches in icing conditions."
26,"The National Transportation Safety Board determined that the probable cause of this accident was the pilot's attempt to regain visual conditions by performing a rapid descent and his failure to arrest the descent at the minimum descent altitude during a nonprecision approach. Contributing to the accident were (1) the pilot's limited recent instrument flight experience, (2) the lack of adherence to effective risk management procedures by the MSP, (3) the pilot's inadequate assessment of the weather, which led to his decision to accept the flight, (4) the failure of the Potomac Consolidated Terminal Radar Approach Control (PCT) controller to provide the current ADW weather observation to the pilot, and (5) the increased workload on the pilot due to inadequate FAA air traffic control handling by the Ronald Reagan National Airport Tower and PCT controllers."
27,"The National Transportation Safety Board determined that the probable cause of this accident was the pilots' mismanagement of an abnormal flight control situation through improper actions, including failing to control airspeed and to prioritize control of the airplane, and lack of crew coordination. Contributing to the accident were Marlin Air's operational safety deficiencies, including the inadequate checkrides administered by Marlin Air's chief pilot/check airman, and the Federal Aviation Administration's (FAA) failure to detect and correct those deficiencies, which placed a pilot who inadequately emphasized safety in the position of company chief pilot and designated check airman and placed an ill-prepared pilot in the first officer's seat."
28,"The National Transportation Safety Board determines that the probable cause of this accident was airplane wing-structure damage sustained during impact with one or more large birds (American white pelicans), which resulted in a loss of control of the airplane."
29,"The National Transportation Safety Board determines that the probable cause of this accident was the design of the supplemental oxygen system hoses and the lack of positive separation between electrical wiring and electrically conductive oxygen system components. The lack of positive separation allowed a short circuit to breach a combustible oxygen hose, release oxygen, and initiate a fire in the supernumerary compartment that rapidly spread to other areas. Contributing to this accident was the Federal Aviation Administration's (FAA) failure to require the installation of nonconductive oxygen hoses after the safety issue concerning conductive hoses was initially identified by Boeing."
30,"The National Transportation Safety Board determines that the probable cause of this accident was American Airlines' maintenance personnel's use of an inappropriate manual engine-start procedure, which led to the uncommanded opening of the left engine air turbine starter valve, and a subsequent left engine fire, which was prolonged by the flight crew's interruption of an emergency checklist to perform nonessential tasks. Contributing to the accident were deficiencies in American Airlines' Continuing Analysis and Surveillance System (CASS) program."
31,"The National Transportation Safety Board determines that the probable causes of this accident were the actions and decisions by NASCAR's corporate aviation division's management and maintenance personnel to allow the accident airplane to be released for flight with a known and unresolved discrepancy, and the accident pilots' decision to operate the airplane with that known discrepancy, a discrepancy that likely resulted in an in-flight fire."
32,The National Transportation Safety Board determines that the probable cause of this accident was both pilots' failure to see and avoid the other helicopter. Contributing to this failure was the pilots' responsibility to perform reporting and visual tracking duties to support their station's ENG operation. Contributing to the accident was the lack of formal procedures for Phoenix-area ENG pilots to follow regarding the conduct of these operations.
33,The National Transportation Safety Board determines that the probable cause of this accident was the pilot's failure to maintain airspeed following a loss of power in the right engine due to the fracturing of compressor turbine blades for undetermined reasons. Contributing to some parachutists' injuries was the lack of a more effective restraint system on the airplane.
34,"The National Transportation Safety Board determines that the probable cause of this accident was the pilots' decision to land at TVC without performing a landing distance assessment, which was required by company policy because of runway contamination initially reported by TVC ground operations personnel and continuing reports of deteriorating weather and runway conditions during the approach. This poor decision-making likely reflected the effects of fatigue produced by a long, demanding duty day, and, for the captain, the duties associated with check airman functions. Contributing to the accident were 1) the Federal Aviation Administration pilot flight and duty time regulations that permitted the pilots' long, demanding duty day and 2) the TVC operations supervisor's use of ambiguous and unspecific radio phraseology in providing runway braking information."
35,"The National Transportation Safety Board determines that the probable cause of this accident was the failure of the flight crew to execute a missed approach when visual cues for the runway were not distinct and identifiable. Contributing to the accident were (1) the crew's decision to descend to the ILS decision height instead of the localizer (glideslope out) minimum descent altitude; (2) the first officer's long landing on a short contaminated runway and the crew's failure to use reverse thrust and braking to their maximum effectiveness; (3) the captain's fatigue, which affected his ability to effectively plan for and monitor the approach and landing; and (4) Shuttle America's failure to administer an attendance policy that permitted flight crewmembers to call in as fatigued without fear of reprisals."
36,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s failure to identify and arrest the helicopter’s descent, which resulted in controlled flight into terrain. Contributing to the accident were the dark night conditions, limited outside visual references, and the lack of an operable radar altimeter in the helicopter."
37,"The National Transportation Safety Board determines that the probable cause of this accident was an in-flight cargo fire that initiated from an unknown source, which was most likely located within cargo container 12, 13, or 14. Contributing to the loss of the aircraft were the inadequate certification test requirements for smoke and fire detection systems and the lack of an on-board fire suppression system."
38,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s disregard of safe flying procedures and misjudgment of the helicopter’s proximity to terrain, which resulted in an in-flight collision with a canyon wall. Contributing to the accident was the failure of Sundance Helicopters and the Federal Aviation Administration to provide adequate surveillance of Sundance’s air tour operations in Descent Canyon."
39,"The National Transportation Safety Board determined that the probable cause of this accident was the pilots' failure to use available reverse thrust in a timely manner to safely slow or stop the airplane after landing, which resulted in a runway overrun. This failure occurred because the pilots' first experience and lack of familiarity with the airplane's autobrake system distracted them from thrust reverser usage during the challenging landing."
40,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crewmembers’ failure to use available cues and aids to identify the airplane’s location on the airport surface during taxi and their failure to cross-check and verify that the airplane was on the correct runway before takeoff. Contributing to the accident were the flight crew’s nonpertinent conversation during taxi, which resulted in a loss of positional awareness, and the Federal Aviation Administration’s (FAA) failure to require that all runway crossings be authorized only by specific air traffic control (ATC) clearances."
41,"The National Transportation Safety Board determines that the probable cause of this accident was the in-flight failure and separation of the right wing during normal flight, which resulted from (1) the failure of the Chalk’s Ocean Airways maintenance program to identify and properly repair fatigue cracks in the right wing and (2) the failure of the Federal Aviation Administration (FAA) to detect and correct deficiencies in the company’s maintenance program."
42,"The National Transportation Safety Board determines that the probable cause of this accident was the pilots' inadequate planning, judgment, and airmanship in the performance of a 180° turn maneuver inside of a limited turning space."
43,"The National Transportation Safety Board determines that the probable cause of the accident was the pilot’s decision to continue flight into adverse weather conditions, which resulted in a loss of control due to an encounter with a microburst. Contributing to the accident was inadequate Federal Aviation Administration surveillance of Special Federal Aviation Regulation 71 operating restrictions. Contributing to the loss of life in the accident was the lack of helicopter flotation equipment."
44,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s decision to continue flight under visual flight rules into an area of turbulent, reduced visibility weather conditions, which resulted in the pilot’s spatial disorientation and loss of control of the helicopter. Contributing to this accident was the pilot’s inexperience in assessing local weather conditions, inadequate Federal Aviation Administration (FAA) surveillance of Special Federal Aviation Regulation 71 operating restrictions, and the operator’s pilot-scheduling practices that likely had an adverse impact on pilot decision-making and performance."
45,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew’s failure to effectively monitor and maintain airspeed and comply with procedures for deice boot activation on the approach, which caused an aerodynamic stall from which they did not recover. Contributing to the accident was the Federal Aviation Administration’s failure to establish adequate certification requirements for flight into icing conditions, which led to the inadequate stall warning margin provided by the airplane’s stall warning system."
46,"The National Transportation Safety Board determines that the probable causes of this accident were (1) the pilots’ unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots’ inadequate training; (2) the pilots’ failure to prepare for an emergency landing in a timely manner, including communicating with air traffic controllers immediately after the emergency about the loss of both engines and the availability of landing sites; and (3) the pilots’ improper management of the double engine failure checklist, which allowed the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident were (1) the core lock engine condition, which prevented at least one engine from being restarted, and (2) the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating."
47,"The National Transportation Safety Board determines that the probable cause of this accident was the captain's inappropriate decision to fly a nonstandard route and his failure to maintain adequate terrain clearance, which resulted in the inflight collision with mountainous terrain. Factors were the operator’s failure to require its flight crews to file and to fly a defined route of flight, the operator’s failure to ensure that the flight crews adhered to company policies and FAA and DoD Federal safety regulations, and the lack of in-country oversight by the FAA and the DoD of the operator. Contributing to the death of one of the passengers was the operator’s lack of flight-locating procedures and its failure to adequately mitigate the limited communications capability at remote sites."
48,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew’s failure to adequately monitor and cross-check the flight instruments during the approach. Contributing to the accident was the flight crew’s failure to select the instrument landing system frequency in a timely manner and to adhere to approved company approach procedures, including the stabilized approach criteria."
49,"The National Transportation Safety Board determines that the probable cause of the accident was the pilots’ failure to ensure the airplane was loaded within weight-and-balance limits and their attempt to take off with the center of gravity well forward of the forward takeoff limit, which prevented the airplane from rotating at the intended rotation speed."
50,The National Transportation Safety Board determines that the probable cause of this accident was a loss of airplane control for undetermined reasons.
51,"The National Transportation Safety Board determines that the probable cause of this accident was the failure of the flight crew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain and the air traffic controller’s issuance of a clearance that transferred the responsibility for terrain clearance from the flight crew to the controller, failure to provide terrain clearance instructions to the flight crew, and failure to advise the flight crew of the MSAW alerts. Contributing to the accident was the pilots’ fatigue, which likely contributed to their degraded decision-making."
52,"The Board concludes that the probable cause of this accident was the flight crew's failure to ensure that the airplane’s wings were free of ice or snow contamination that accumulated while the airplane was on the ground, which resulted in an attempted takeoff with upper wing contamination that induced the subsequent stall and collision with the ground. A factor contributing to the accident was the pilots’ lack of experience flying during winter weather conditions."
53,"The National Transportation Safety Board determines that the probable cause of this accident was fuel starvation resulting from the captain’s decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain’s inadequate preflight planning, his subsequent distraction during the flight, and his late initiation of the in-range checklist. Further contributing to the accident was the flight crew’s failure to monitor the fuel gauges and to recognize that the airplane’s changing handling characteristics"
54,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to properly execute the published instrument approach procedure, including the published missed approach procedure, which resulted in controlled flight into terrain. Contributing to the cause of the accident was the flight crew's failure to use all available navigational aids to confirm and monitor the airplane's position during the approach."
55,"The National Transportation Safety Board determines that the probable cause of the accident was the pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in IMC, including their descent below the minimum descent altitude (MDA) before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying (monitoring) pilot."
56,The National Transportation Safety Board determines that the probable cause of this accident was the captain’s failure to execute proper techniques to recover from the bounced landings and his subsequent failure to execute a go-around.
57,The National Transportation Safety Board determines that the probable causes of the accident were 1) the first officer’s failure to properly apply crosswind landing techniques to align the airplane with the runway centerline and to properly arrest the airplane’s descent rate (flare) before the airplane touched down; and 2) the captain’s failure to adequately monitor the first officer’s performance and command or initiate corrective action during the final approach and landing.
58,The National Transportation Safety Board determines that the probable cause of this accident was the in-flight separation of the vertical stabilizer as a result of the loads beyond ultimate design that were created by the first officer’s unnecessary and excessive rudder pedal inputs. Contributing to these rudder pedal inputs were characteristics of the Airbus A300-600 rudder system design and elements of the American Airlines Advanced Aircraft Maneuvering Program.
59,The National Transportation Safety Board determines that the probable cause of this accident was the in-flight failure of the right engine and the pilot’s failure to adequately manage the airplane’s performance after the engine failed. The right engine failure resulted from inadequate maintenance that was performed by Air Sunshine’s maintenance personnel during undocumented maintenance. Contributing to the passenger fatalities was the pilot’s failure to provide an emergency briefing after the right engine failed.
60,"The National Transportation Safety Board determines that the probable cause of the accident was the captain’s and first officer’s failure to establish and maintain a proper glidepath during the night visual approach to landing. Contributing to the accident was a combination of the captain’s and first officer’s fatigue, the captain’s and first officer’s failure to adhere to company flight procedures, the captain’s and flight engineer’s failure to monitor the approach, and the first officer’s color vision deficiency."
61,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s decision to maneuver the helicopter in a flight regime and in a high density altitude environment which significantly decreased the helicopter’s performance capability, resulting in a high rate of descent from which recovery was not possible. Factors contributing to the accident were high density altitude and the pilot’s decision to maneuver the helicopter in proximity to precipitous terrain, which effectively limited remedial options available."
62,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s excessive takeoff rotation, during an aft center of gravity (c.g.) takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane’s aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier’s inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration."
63,"The National Transportation Safety Board determines that the probable cause of this accident was the airplane’s loss of pitch control during takeoff. The loss of pitch control resulted from the incorrect rigging of the elevator control system compounded by the airplane’s aft center of gravity, which was substantially aft of the certified aft limit."
64,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to maintain adequate airspeed, which led to an aerodynamic stall from which they did not recover."
65,The National Transportation Safety Board determines that the probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation.  Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions.
66,The National Transportation Safety Board determines that the probable cause of this accident was a loss of airplane pitch control resulting from the in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut threads. The thread failure was caused by excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly.
67,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's excessive use of the elevator control during recovery from an inadvertently entered spin and/or spiral dive during which the glider exceeded the maximum permissible speed, which resulted in the overload failure of the wings at loadings beyond the structure's ultimate design loads."
68,"The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's failure to ensure an adequate fuel supply for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine due to fuel starvation. Contributing to the accident were the flight crew's failure to monitor the airplane's fuel state and the flight crew's failure to maintain directional control after the initial engine stoppage."
69,The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's excessive airspeed and flightpath angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flight crew other than a go-around maneuver.
70,The National Transportation Safety Board determines that the probable cause of this accident was the flight crew's operation of the airplane below the minimum descent altitude without an appropriate visual reference for the runway.
71,"The National Transportation Safety Board determines that the probable cause of this accident was the pilot's failure to control the airplane while maneuvering because of spatial disorientation. Contributing to the accident were the failure of the airplane's primary attitude indicator and the adverse weather conditions, including turbulence."
72,The National Transportation Safety Board determines that the probable cause of the EgyptAir flight 990 accident is the airplane's departure from normal cruise flight and subsequent impact with the Atlantic Ocean as a result of the relief first officer's flight control inputs. The reason for the relief first officer's actions was not determined.
